count,date
2252525,2019-10-26 09:53:47
2252637,2019-10-26 09:53:57
2252783,2019-10-26 09:54:08
2252827,2019-10-26 09:54:17
2252858,2019-10-26 09:54:28
2252858,2019-10-26 09:54:37
2253085,2019-10-26 09:54:48
2253085,2019-10-26 09:54:57
2253215,2019-10-26 09:55:07
2253423,2019-10-26 09:55:17
2253606,2019-10-26 09:55:27
2253606,2019-10-26 09:55:37
2254268,2019-10-26 09:55:47
2254361,2019-10-26 09:55:57
2254401,2019-10-26 09:56:08
2254401,2019-10-26 09:56:17
2254466,2019-10-26 09:56:27
2254558,2019-10-26 09:56:37
2254644,2019-10-26 09:56:47
2254962,2019-10-26 09:56:57
2255039,2019-10-26 09:57:08
2255039,2019-10-26 09:57:17
2255149,2019-10-26 09:57:28
2255149,2019-10-26 09:57:37
2255310,2019-10-26 09:57:47
2255560,2019-10-26 09:57:58
2255560,2019-10-26 09:58:07
2255910,2019-10-26 09:58:17
2256074,2019-10-26 09:58:27
2256147,2019-10-26 09:58:37
2256315,2019-10-26 09:58:47
2256419,2019-10-26 09:58:57
2256627,2019-10-26 09:59:07
2256808,2019-10-26 09:59:18
2256808,2019-10-26 09:59:27
2257036,2019-10-26 09:59:38
2257036,2019-10-26 09:59:47
2257086,2019-10-26 09:59:57
2257121,2019-10-26 10:00:07
2257254,2019-10-26 10:00:17
2257389,2019-10-26 10:00:28
2257389,2019-10-26 10:00:37
2257487,2019-10-26 10:00:47
2257825,2019-10-26 10:00:57
2257994,2019-10-26 10:01:07
2258049,2019-10-26 10:01:17
2258338,2019-10-26 10:01:28
2258338,2019-10-26 10:01:37
2265223,2019-10-26 10:01:47
2265325,2019-10-26 10:01:58
2265325,2019-10-26 10:02:07
2265538,2019-10-26 10:02:18
2265538,2019-10-26 10:02:27
2265607,2019-10-26 10:02:37
2265917,2019-10-26 10:02:47
2265917,2019-10-26 10:02:57
2266140,2019-10-26 10:03:07
2266202,2019-10-26 10:03:17
2266202,2019-10-26 10:03:27
2266288,2019-10-26 10:03:37
2266458,2019-10-26 10:03:47
2266535,2019-10-26 10:03:57
2266730,2019-10-26 10:04:07
2266832,2019-10-26 10:04:17
2266832,2019-10-26 10:04:27
2267294,2019-10-26 10:04:37
2267310,2019-10-26 10:04:47
2267441,2019-10-26 10:04:57
2267473,2019-10-26 10:05:07
2267473,2019-10-26 10:05:17
2267618,2019-10-26 10:05:27
2267618,2019-10-26 10:05:37
2267686,2019-10-26 10:05:47
2267761,2019-10-26 10:05:57
2267854,2019-10-26 10:06:07
2267896,2019-10-26 10:06:17
2268071,2019-10-26 10:06:29
2268071,2019-10-26 10:06:37
2268168,2019-10-26 10:06:49
2268168,2019-10-26 10:06:57
2268246,2019-10-26 10:07:08
2268489,2019-10-26 10:07:17
2268505,2019-10-26 10:07:29
2269039,2019-10-26 10:07:39
2269039,2019-10-26 10:07:47
2269232,2019-10-26 10:07:57
2269262,2019-10-26 10:08:07
2269300,2019-10-26 10:08:17
2269377,2019-10-26 10:08:29
2269377,2019-10-26 10:08:37
2269793,2019-10-26 10:08:47
2269845,2019-10-26 10:08:57
2269845,2019-10-26 10:09:07
2269999,2019-10-26 10:09:18
2270065,2019-10-26 10:09:29
2270065,2019-10-26 10:09:37
2270287,2019-10-26 10:09:49
2270287,2019-10-26 10:09:57
