count, date
5127820,2019-10-28 00:00:06
5127820,2019-10-28 00:00:13
5127881,2019-10-28 00:00:33
5127979,2019-10-28 00:00:53
5127995,2019-10-28 00:01:05
5128122,2019-10-28 00:01:43
5128227,2019-10-28 00:01:57
5128227,2019-10-28 00:02:03
5128327,2019-10-28 00:02:33
5128557,2019-10-28 00:02:46
5128608,2019-10-28 00:03:03
5128659,2019-10-28 00:03:23
5128871,2019-10-28 00:04:05
5128919,2019-10-28 00:04:24
5129155,2019-10-28 00:04:33
5129212,2019-10-28 00:04:53
5129252,2019-10-28 00:05:03
5129426,2019-10-28 00:05:53
5129462,2019-10-28 00:06:03
5129495,2019-10-28 00:06:13
5129506,2019-10-28 00:06:24
5129506,2019-10-28 00:06:33
5129513,2019-10-28 00:06:43
5129513,2019-10-28 00:06:53
5130218,2019-10-28 00:07:03
5130218,2019-10-28 00:07:13
5130360,2019-10-28 00:07:24
5130400,2019-10-28 00:07:34
5130400,2019-10-28 00:07:43
5130428,2019-10-28 00:07:53
5130443,2019-10-28 00:08:03
5130480,2019-10-28 00:08:13
5130511,2019-10-28 00:08:23
5130511,2019-10-28 00:08:33
5130655,2019-10-28 00:08:45
5130655,2019-10-28 00:08:53
5130802,2019-10-28 00:09:03
5130820,2019-10-28 00:09:13
5130912,2019-10-28 00:09:23
5131032,2019-10-28 00:09:33
5131568,2019-10-28 00:09:45
5131568,2019-10-28 00:09:53
5131575,2019-10-28 00:10:03
5131827,2019-10-28 00:10:13
5131978,2019-10-28 00:10:23
5132058,2019-10-28 00:10:33
5132206,2019-10-28 00:10:45
5132206,2019-10-28 00:10:55
5132237,2019-10-28 00:11:03
5132269,2019-10-28 00:11:13
5132405,2019-10-28 00:11:23
5132417,2019-10-28 00:11:33
5132450,2019-10-28 00:11:45
5132450,2019-10-28 00:11:53
5132494,2019-10-28 00:12:05
5132562,2019-10-28 00:12:13
5132562,2019-10-28 00:12:23
5132640,2019-10-28 00:12:33
5132687,2019-10-28 00:12:45
5132717,2019-10-28 00:12:55
5132717,2019-10-28 00:13:03
5132748,2019-10-28 00:13:15
5132776,2019-10-28 00:13:25
5132831,2019-10-28 00:13:34
5132873,2019-10-28 00:13:44
5132873,2019-10-28 00:13:55
5132908,2019-10-28 00:14:05
5132919,2019-10-28 00:14:15
5132919,2019-10-28 00:14:25
5132975,2019-10-28 00:14:33
5132985,2019-10-28 00:14:43
5133085,2019-10-28 00:14:53
5133220,2019-10-28 00:15:05
5133220,2019-10-28 00:15:13
5133412,2019-10-28 00:15:23
5133771,2019-10-28 00:15:35
5133822,2019-10-28 00:15:45
5133900,2019-10-28 00:15:55
5133942,2019-10-28 00:16:05
5133957,2019-10-28 00:16:15
5134048,2019-10-28 00:16:25
5134048,2019-10-28 00:16:34
5134196,2019-10-28 00:16:44
5134196,2019-10-28 00:16:55
5134286,2019-10-28 00:17:04
5134286,2019-10-28 00:17:14
5134363,2019-10-28 00:17:24
5134363,2019-10-28 00:17:34
5134697,2019-10-28 00:17:44
5134704,2019-10-28 00:17:54
5216277,2019-10-28 00:18:05
5216277,2019-10-28 00:18:14
5216287,2019-10-28 00:18:24
5216375,2019-10-28 00:18:34
5216586,2019-10-28 00:18:44
5216619,2019-10-28 00:18:54
5216759,2019-10-28 00:19:04
5216831,2019-10-28 00:19:14
5216873,2019-10-28 00:19:25
5216873,2019-10-28 00:19:34
5216935,2019-10-28 00:19:44
5216970,2019-10-28 00:19:54
5217052,2019-10-28 00:20:05
5217052,2019-10-28 00:20:15
5217177,2019-10-28 00:20:24
5217483,2019-10-28 00:20:34
5217572,2019-10-28 00:20:44
5217672,2019-10-28 00:20:54
5217720,2019-10-28 00:21:04
5217809,2019-10-28 00:21:14
5217829,2019-10-28 00:21:25
5217829,2019-10-28 00:21:34
5217896,2019-10-28 00:21:44
