count,date
10.42,2019-11-02 00:00:03
3.3,2019-11-02 00:00:25
6.08,2019-11-02 00:00:36
0.92,2019-11-02 00:00:48
0.83,2019-11-02 00:00:59
18.2,2019-11-02 00:03:12
0.08,2019-11-02 00:03:23
0.42,2019-11-02 00:03:34
1.69,2019-11-02 00:03:47
0.5,2019-11-02 00:03:58
0.5,2019-11-02 00:04:09
2.83,2019-11-02 00:04:20
6.75,2019-11-02 00:04:31
1.0,2019-11-02 00:05:05
11.0,2019-11-02 00:05:17
4.58,2019-11-02 00:05:28
4.25,2019-11-02 00:05:39
1.09,2019-11-02 00:06:01
2.08,2019-11-02 00:06:12
7.67,2019-11-02 00:06:24
2.21,2019-11-02 00:06:37
5.83,2019-11-02 00:06:47
1.93,2019-11-02 00:07:01
7.08,2019-11-02 00:07:11
0.74,2019-11-02 00:07:33
0.04,2019-11-02 00:07:56
1.67,2019-11-02 00:08:19
1.22,2019-11-02 00:08:41
4.33,2019-11-02 00:08:52
0.78,2019-11-02 00:09:14
1.25,2019-11-02 00:09:25
1.0,2019-11-02 00:09:37
12.75,2019-11-02 00:09:48
1.75,2019-11-02 00:09:59
2.65,2019-11-02 00:10:21
1.88,2019-11-02 00:10:44
2.74,2019-11-02 00:11:06
14.67,2019-11-02 00:11:18
1.74,2019-11-02 00:11:40
5.15,2019-11-02 00:11:52
2.31,2019-11-02 00:12:03
2.58,2019-11-02 00:12:14
1.25,2019-11-02 00:12:25
0.17,2019-11-02 00:12:37
2.08,2019-11-02 00:12:47
1.67,2019-11-02 00:12:58
2.38,2019-11-02 00:13:11
2.75,2019-11-02 00:13:22
3.7,2019-11-02 00:13:45
0.25,2019-11-02 00:14:08
0.43,2019-11-02 00:14:30
0.3,2019-11-02 00:14:52
0.17,2019-11-02 00:15:16
0.21,2019-11-02 00:15:39
4.17,2019-11-02 00:15:50
1.33,2019-11-02 00:16:01
0.87,2019-11-02 00:16:23
0.92,2019-11-02 00:16:35
0.92,2019-11-02 00:16:46
1.62,2019-11-02 00:17:19
1.75,2019-11-02 00:17:30
3.33,2019-11-02 00:17:41
7.25,2019-11-02 00:17:52
